video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=LGSSl5dG5do&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHp1cmljaCBzd2l0emVybGFuZA%3D%3D,/@EuropeTours,Europe Tours,"Switzerland 5 Days Travel Itinerary (Zurich - Interlaken - Lucerne), using Public Transport or STP",63K,3 years,"SWITZERLAND - 5 DAYS TRAVEL ITINERARY, USING SWISS PUBLIC TRANSPORT (TRAIN, BUS, TRAM AND BOAT) Remarks: ...",2024-01-25 20:30:19.474879
/watch?v=5qCxqKe11uE&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHp1cmljaCBzd2l0emVybGFuZA%3D%3D,/@desilifeineurope,Desi Life in Europe,how is public transport in Switzerland | INDIAN IN SWITZERLAND | Travel Vlog,16K,2 years,How to travel in Switzerland in Hindi | Best public transport in world | INDIAN IN SWITZERLAND | | Travel Vlogging we showed ...,2024-01-25 20:30:19.478247
/watch?v=urMpOvZWm5Y&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHp1cmljaCBzd2l0emVybGFuZA%3D%3D,/@SwissView1,Swiss View,"Zürich Main Train Station 🚂  Bahnhofstrasse | Hardbrücke | Zurich, Switzerland",20K,2 years,"Zürich Main Train Station Zürich Hauptbahnhof | Bahnhofstrasse | Hardbrücke | Zurich, Switzerland Switzerland offers ...",2024-01-25 20:30:19.481754
/shorts/Ehx2DYBsPtc,/@thenextgenbusiness,The Next Gen Business,"Living on $200,000 After Taxes in Zurich, Switzerland #switzerland #democrat #republican #salary",1.4M,1 year,This is what a salary of two hundred thousand dollars looks like after taxes in Zurich Switzerland gross annual income two ...,2024-01-25 20:30:19.484825
/watch?v=mzzPiShrWdc&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHp1cmljaCBzd2l0emVybGFuZA%3D%3D,/@ThePlanetD,The Planet D,"The Best Things to do in Zurich, Switzerland - Zurich Travel Guide by The Planet D",469K,2 years,Looking for things to do in Zurich Switzerland? This Zurich travel guide shares everything we did during our time in Switzerland's ...,2024-01-25 20:30:19.489108
/watch?v=pWnreLG_cvc&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHp1cmljaCBzd2l0emVybGFuZA%3D%3D,/@NotJustBikes,Not Just Bikes,Does Anyone Actually Cycle in Switzerland!?,968K,1 year,"I'm always being told that people won't cycle where it's hilly, and Switzerland is a pretty hilly country, so does anybody actually ...",2024-01-25 20:30:19.493052
/watch?v=6FTAgl4j4G0&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHp1cmljaCBzd2l0emVybGFuZA%3D%3D,/@TheTravelingSwiss,The Traveling Swiss – Alexis & Louis,NAVIGATING THE SWISS AIRPORTS: Walk-Through Tour of Geneva and Zurich Airports,24K,1 year,Hey guys! Heading to Switzerland via plane? Watch this video and arrive in Geneva or Zurich airports with confidence! We'll give ...,2024-01-25 20:30:19.498863
/watch?v=muPcHs-E4qc&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHp1cmljaCBzd2l0emVybGFuZA%3D%3D,/@NotJustBikes,Not Just Bikes,Why Swiss Trains are the Best in Europe,1.9M,1 year,"I live in the Netherlands, where we have some pretty great trains. But there's a country in Europe that does trains better.",2024-01-25 20:30:19.506022
/watch?v=sytK-y-4jKI&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHp1cmljaCBzd2l0emVybGFuZA%3D%3D,/@olivierandalima,Olivier & Alima,How to Buy Bus Tickets in Zurich,350,1 year,"Hi, in this Video we show you How to Buy Bus Tickets in Zurich Thanks for watching Please Like and Subscribe! How do you pay ...",2024-01-25 20:30:19.509160
/watch?v=g3W8Ow_4U48&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHp1cmljaCBzd2l0emVybGFuZA%3D%3D,/@TripGlobally,TripGlobally Dot Com,Zurich Airport to City Center Guide | How to go to Zurich HB Main Train Station from Zurich Airport?,40K,5 years,This video is about how to go from Zurich Airport to Zurich City Center or Zurich HB Main Station. A nice scenic beauty you can ...,2024-01-25 20:30:27.282606
