video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=92BoQf0-0TQ&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@TheImpossibleBuild,The Impossible Build,Europe's $600 Billion T-Ten Transportation Giga-Project,16K,8 months,"As far as European Mega Projects go this one is a big one, The Ten-T Network rail project plans to be a $600 billion engineering ...",2024-01-25 20:37:40.808030
/watch?v=3IxTyGbAfNU&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@worldIndex,World Index,Top 10 Cities With the Best Public Transport | World Index |,4.5K,1 year,Music Credits:- –––––––––––––––––––––––––––––– Song: Fredji - Happy Life (Vlog No Copyright Music) Music provided by ...,2024-01-25 20:37:40.810795
/watch?v=2SnJFbeVaIc&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@visualeconomiken,VisualEconomik EN,Why Free Public Transportation Is a Bad Idea,30K,7 months,Check out our previous videos! ⬇️ Why Do Rich Countries Face Demographic Collapse?,2024-01-25 20:37:40.814571
/watch?v=hzuAohOSLi4&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@DWTravel,DW Travel,"Germany's 49-Euro Ticket, or 'D-Ticket' – All You Need to Know",136K,8 months,"Starting from May 1, unlimited travel on many trains and public transport throughout Germany is possible for 49 euros a month.",2024-01-25 20:37:40.823336
/watch?v=lGiMFMxSpAk&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@RMTransit,RMTransit,The Best Designed Metro System in the World? | Vienna U-Bahn Explained,203K,1 year,Special thanks to Maximilian Hartmann and Sebastian Tod for providing footage used in this video! Check out Maximilian's ...,2024-01-25 20:37:40.828279
/watch?v=kLSIaaXiLUU&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@ricksteves,Rick Steves' Europe,European Travel Skills: Getting Around - Rick Steves' Europe Travel Guide,26K,10 years,"Visitors can easily master excellent transportation options: buses, subways, and taxis. Even if you never use public transportation ...",2024-01-25 20:37:40.833840
/watch?v=gpXPlhzxhsc&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@BeryIstanbulTips,Bery Istanbul Tips,ULTIMATE GUIDE TO ISTANBUL'S PUBLIC TRANSPORTATION FOR TOURISTS,72K,1 year,A COMPLETE UPDATED GUIDE TO ISTANBUL'S PUBLIC TRANSPORTATION FOR TOURISTS. Are you coming to Istanbul but ...,2024-01-25 20:37:49.050394
/shorts/i3MipokJrG8,/@dweuromaxx,DW Euromaxx,Berlin's Public Transport: Things you need to know,58K,1 year,Using public transport in new cities like Berlin can be overwhelming. Our reporter has some tips for you to not make mistakes in ...,2024-01-25 20:37:49.052538
/shorts/-N3Fl5SRGeY,/@RMTransit,RMTransit,that looks painful for the streetcar! #shorts  #transit #toronto #streetcar,533K,1 year,"RMTransit is here to answer that, and help you open your eyes to all of the different public transportation systems around the ...",2024-01-25 20:37:49.054252
/watch?v=xXvaBGZWP7s&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@drewbinsky,Drew Binsky,The World's BEST vs. WORST Metros (Public Transport),221K,1 year,... Intercity Public transportation systems (i.e. metros & subways) are something that I've always been obsessed with when I travel!,2024-01-25 20:37:49.056398
/watch?v=IcnkRhm5tRk&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@visaeurope,Visa Europe,Visa helps redefine public transportation,2.9K,4 years,"Visa urban mobility experts work with cities and public transport operators around the world to improve the customer journey, ...",2024-01-25 20:37:49.058026
/watch?v=WVVDK3u0quU&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@simplegermany,Simple Germany,PUBLIC TRANSPORTATION in Germany [Explained] 🚍🚊,117K,2 years,"Public transportation in Germany is fantastic. There are, however, some things you should know before using it. We discuss how ...",2024-01-25 20:37:49.061587
/shorts/ndaqik4ar5M,/@DWTravel,DW Travel,3 Reasons why we Love the Public Transport in Berlin,10K,1 year,One thing we love about Berlin is that the public transport system can be pretty great — and here are 3 reasons why.,2024-01-25 20:37:49.063129
/watch?v=zW_3sLrM6EA&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@RMTransit,RMTransit,A FANTASTIC subway network! | Berlin U-Bahn & S-Bahn,154K,1 year,"As always, leave a comment down below if you have ideas for our future videos. Like, subscribe, and hit the bell icon so you won't ...",2024-01-25 20:37:49.064453
/watch?v=lP-G-inkkDg&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@OBFYT,OBF,​​Why The Netherlands Is Insanely Well Designed,4.8M,1 year,Why The Netherlands Is Insanely Well Designed Support me on Patreon: https://www.patreon.com/oliverbahl Follow me on ...,2024-01-25 20:37:49.065813
